Company,Ticker,Sector,Sub-Industry
Paccar,PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment
Palo Alto Networks,PANW,Information Technology,Application Software
Parker Hannifin,PH,Industrials,Industrial Machinery & Supplies & Components
Pentair,PNR,Industrials,Industrial Machinery & Supplies & Components
PulteGroup,PHM,Consumer Discretionary,Homebuilding
Quanta Services,PWR,Industrials,Construction & Engineering
Raymond James,RJF,Financials,Investment Banking & Brokerage
Republic Services,RSG,Industrials,Environmental & Facilities Services
Rockwell Automation,ROK,Industrials,Electrical Components & Equipment
"Rollins, Inc.",ROL,Industrials,Environmental & Facilities Services
Roper Technologies,ROP,Information Technology,Electronic Equipment & Instruments
Ross Stores,ROST,Consumer Discretionary,Apparel Retail
Royal Caribbean Group,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Schlumberger,SLB,Energy,Oil & Gas Equipment & Services
Sherwin-Williams,SHW,Materials,Specialty Chemicals
Snap-on,SNA,Industrials,Industrial Machinery & Supplies & Components
Southwest Airlines,LUV,Industrials,Passenger Airlines
Steris,STE,Health Care,Health Care Equipment
Stryker Corporation,SYK,Health Care,Health Care Equipment
Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment
TE Connectivity,TEL,Information Technology,Electronic Manufacturing Services
"Tesla, Inc.",TSLA,Consumer Discretionary,Automobile Manufacturers
TJX Companies,TJX,Consumer Discretionary,Apparel Retail
Trane Technologies,TT,Industrials,Building Products
TransDigm Group,TDG,Industrials,Aerospace & Defense
Tyler Technologies,TYL,Information Technology,Application Software
United Airlines Holdings,UAL,Industrials,Passenger Airlines
United Rentals,URI,Industrials,Trading Companies & Distributors
Universal Health Services,UHS,Health Care,Health Care Facilities
Vulcan Materials Company,VMC,Materials,Construction Materials
Wabtec,WAB,Industrials,Construction Machinery & Heavy Transportation Equipment
Waste Management,WM,Industrials,Environmental & Facilities Services
West Pharmaceutical Services,WST,Health Care,Health Care Supplies
Weyerhaeuser,WY,Real Estate,Timber REITs
Williams Companies,WMB,Energy,Oil & Gas Storage & Transportation
W. W. Grainger,GWW,Industrials,Industrial Machinery & Supplies & Components
Zimmer Biomet,ZBH,Health Care,Health Care Equipment
