Company,Ticker,Sector,Sub-Industry
Ryder,R,Industrials,Cargo Ground Transportation
SAIC,SAIC,Industrials,Diversified Support Services
Sarepta Therapeutics,SRPT,Health Care,
SBA Communications,SBAC,Real Estate,Telecom Tower REITs
Henry Schein,HSIC,Health Care,Health Care Distributors
Schlumberger,SLB,Energy,Oil & Gas Equipment & Services
Schneider National,SNDR,Industrials,
Scotts Miracle-Gro Company,SMG,Materials,Fertilizers & Agricultural Chemicals
Seaboard,SEB,Consumer Staples,
Seagen,SGEN,Health Care,Biotechnology
SEI Investments Company,SEIC,Financials,Asset Management & Custody Banks
Sempra,SRE,Utilities,Multi-Utilities
Sensata Technologies,ST,Industrials,
Service Corporation International,SCI,Consumer Discretionary,Specialized Consumer Services
Sherwin-Williams,SHW,Materials,Specialty Chemicals
Shift4,FOUR,Information Technology,
Simon,SPG,Real Estate,Retail REITs
Sirius XM,SIRI,Communication Services,Broadcasting
SiteOne Landscape Supply,SITE,Industrials,
Six Flags,SIX,Consumer Discretionary,Leisure Facilities
Skechers,SKX,Consumer Discretionary,Footwear
Skyworks,SWKS,Information Technology,Semiconductors
SL Green Realty,SLG,Real Estate,Office REITs
A. O. Smith,AOS,Industrials,Building Products
Snap-on,SNA,Industrials,Industrial Machinery & Supplies & Components
Snowflake,SNOW,Information Technology,
Sonoco,SON,Materials,Paper & Plastic Packaging Products & Materials
Sotera Health,SHC,Health Care,
Southern Company,SO,Utilities,Electric Utilities
Southwest Airlines,LUV,Industrials,Passenger Airlines
Spectrum Brands,SPB,Consumer Staples,
Spirit Aerosystems,SPR,Industrials,
Spirit Realty Capital,SRC,Real Estate,
SS&C Technologies,SSNC,Information Technology,
Starwood Property Trust,STWD,Financials,
State Street,STT,Financials,Asset Management & Custody Banks
Steel Dynamics,STLD,Materials,Steel
Stericycle,SRCL,Industrials,Environmental & Facilities Services
Steris,STE,Health Care,Health Care Equipment
Sun Communities,SUI,Real Estate,
Sunrun,RUN,Industrials,Building Products
Synchrony,SYF,Financials,Consumer Finance
Syneos Health,SYNH,Health Care,Life Sciences Tools & Services
Synovus,SNV,Financials,Regional Banks
T-Mobile,TMUS,Communication Services,Wireless Telecommunication Services
Tapestry,TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation
TD Synnex,SNX,Information Technology,Technology Distributors
Teleflex,TFX,Health Care,Health Care Equipment
Teradyne,TER,Information Technology,Semiconductor Materials & Equipment
Texas Instruments,TXN,Information Technology,Semiconductors
Texas Pacific Land,TPL,Energy,
Textron,TXT,Industrials,Aerospace & Defense
Thermo Fisher Scientific,TMO,Health Care,Life Sciences Tools & Services
Third Federal S&L,TFSL,Financials,
Thoughtworks,TWKS,Information Technology,
Timken,TKR,Industrials,Industrial Machinery & Supplies & Components
TJX Companies,TJX,Consumer Discretionary,Apparel Retail
Toast,TOST,Information Technology,
Tradeweb,TW,Financials,
Transdigm,TDG,Industrials,Aerospace & Defense
Travel + Leisure,TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Trex,TREX,Industrials,Building Products
Trimble,TRMB,Information Technology,Electronic Equipment & Instruments
Tripadvisor,TRIP,Communication Services,Interactive Media & Services
Truist,TFC,Financials,Regional Banks
Twilio,TWLO,Information Technology,
Tyler Technologies,TYL,Information Technology,Application Software
Tyson,TSN,Consumer Staples,Packaged Foods & Meats
U-Haul (Series N),UHAL.B,Industrials,
U.S. Steel,X,Materials,Steel
Ubiquiti,UI,Information Technology,
UDR,UDR,Real Estate,Residential REITs
UGI Corporation,UGI,Utilities,Gas Utilities
UiPath,PATH,Information Technology,
Ultragenyx,RARE,Health Care,
Under Armour (Class A),UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Under Armour (Class C),UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Union Pacific,UNP,Industrials,Rail Transportation
United Parcel Service,UPS,Industrials,Air Freight & Logistics
United Rentals,URI,Industrials,Trading Companies & Distributors
United Wholesale Mortgage,UWMC,Financials,
UnitedHealth Group,UNH,Health Care,Managed Health Care
Unity,U,Information Technology,
Univar Solutions,UNVR,Industrials,Trading Companies & Distributors
Universal Health Services,UHS,Health Care,Health Care Facilities
Unum,UNM,Financials,Life & Health Insurance
Upstart,UPST,Financials,
US Bancorp,USB,Financials,Diversified Banks
US Foods,USFD,Consumer Staples,
Vail Resorts,MTN,Consumer Discretionary,
Valero,VLO,Energy,Oil & Gas Refining & Marketing
Ventas,VTR,Real Estate,Health Care REITs
Verisign,VRSN,Information Technology,Internet Services & Infrastructure
Verisk,VRSK,Industrials,Research & Consulting Services
Vertex,VRTX,Health Care,Biotechnology
VF Corporation,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Viatris,VTRS,Health Care,Pharmaceuticals
Vici Properties,VICI,Real Estate,Hotel & Resort REITs
Virtu Financial,VIRT,Financials,
Visa,V,Financials,Transaction & Payment Processing Services
Vistra Corp.,VST,Utilities,
Vornado Realty Trust,VNO,Real Estate,Office REITs
Voya Financial,VOYA,Financials,Multi-Sector Holdings
W. P. Carey,WPC,Real Estate,
Wabtec,WAB,Industrials,Construction Machinery & Heavy Transportation Equipment
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
Walmart,WMT,Consumer Staples,Consumer Staples Merchandise Retail
Waste Management,WM,Industrials,Environmental & Facilities Services
Waters,WAT,Health Care,Health Care Distributors
Webster Bank,WBS,Financials,Regional Banks
Wells Fargo,WFC,Financials,Diversified Banks
Welltower,WELL,Real Estate,Health Care REITs
Wendy's Company (The),WEN,Consumer Discretionary,Restaurants
Wesco,WCC,Industrials,
Western Alliance Bancorp,WAL,Financials,
Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
Western Union,WU,Information Technology,Data Processing & Outsourced Services
Westlake,WLK,Materials,
Westrock,WRK,Materials,Paper & Plastic Packaging Products & Materials
WeWork,WE,Real Estate,
Wex,WEX,Financials,Transaction & Payment Processing Services
Weyerhaeuser,WY,Real Estate,Timber REITs
Whirlpool,WHR,Consumer Discretionary,Household Appliances
White Mountains,WTM,Financials,
Williams,WMB,Energy,Oil & Gas Storage & Transportation
Williams-Sonoma,WSM,Consumer Discretionary,Homefurnishing Retail
Willis Towers Watson,WTW,Financials,Insurance Brokers
Wintrust Financial,WTFC,Financials,Regional Banks
Wix,WIX,Information Technology,
Wolfspeed,WOLF,Information Technology,Semiconductors
Woodward,WWD,Industrials,Electrical Components & Equipment
Wyndham Hotels & Resorts,WH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Wynn Resorts,WYNN,Consumer Discretionary,Casinos & Gaming
Xcel Energy,XEL,Utilities,Multi-Utilities
XPO Logistics,XPO,Industrials,Cargo Ground Transportation
Xylem,XYL,Industrials,Industrial Machinery & Supplies & Components
Zebra,ZBRA,Information Technology,Electronic Equipment & Instruments
Zillow (Class A),ZG,Real Estate,
Zillow (Class C),Z,Real Estate,
Zions Bancorporation,ZION,Financials,Regional Banks
Zoom,ZM,Information Technology,Application Software
ZoomInfo,ZI,Communication Services,
